# W2 capture COM4  2026-07-05T11:09:40
# firmware (V): V1.07;
11:09:41.208  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:41.476  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:41.680  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:41.895  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:42.090  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:42.313  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:42.532  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:42.766  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:42.988  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:43.195  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:43.398  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:43.605  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:43.827  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:44.045  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:44.264  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:44.486  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:44.710  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:44.903  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:45.155  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:45.386  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:45.615  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:45.892  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:46.118  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:46.340  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:46.556  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:46.792  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:47.009  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:47.236  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:47.446  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:47.668  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:47.868  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:48.104  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:48.305  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:48.541  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:48.778  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:48.981  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:49.229  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:49.423  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:49.641  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:49.840  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:50.055  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:50.309  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:50.527  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:50.736  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:50.952  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:51.139  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:51.368  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:51.590  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:51.826  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:52.055  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:52.280  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:09:52.508  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:52.715  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:52.940  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:09:53.152  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
